"Type","Endpoint","Lower 95% CL","Point estimate","Upper 95% CL","P-value","Weight ORBIT 3","Weight ORBIT 4"
"ORBIT 3","Primary endpoint (log hazard ratio)",-0.342337239911446,-0.0100503358535015,0.322236568204443,0.476364151529576,NA,NA
"ORBIT 4","Primary endpoint (log hazard ratio)",-0.630713599447667,-0.328504066972036,-0.0262945344964056,0.0165653510442978,NA,NA
"Two-trials rule","Primary endpoint (log hazard ratio)",-0.389638198972499,-0.102440022313251,0.159866652004667,0.226922804862493,0.709880345457907,0.290119654542093
"Meta-analysis","Primary endpoint (log hazard ratio)",-0.407912412263649,-0.184339187060842,0.0392340381419661,0.0530453019866235,0.452702750270285,0.547297249729715
"Tippett","Primary endpoint (log hazard ratio)",-0.483040802645886,-0.244477150444197,0.016724918117944,0.0328562912333747,0.263859105160125,0.736140894839875
"Fisher","Primary endpoint (log hazard ratio)",-0.45203968437974,-0.205806905262892,0.0330381476980267,0.0461001526968247,0.385290388271425,0.614709611728575
"Pearson","Primary endpoint (log hazard ratio)",-0.39563025757762,-0.145793727357448,0.124437357653957,0.143277443954578,0.573742185317902,0.426257814682098
"Edgington","Primary endpoint (log hazard ratio)",-0.44822597063635,-0.176825117091346,0.11981916718962,0.121489747253863,0.476298234434038,0.523701765565962
"ORBIT 3","Secondary endpoint (log rate ratio)",-0.434574730197504,-0.162518929497775,0.109536871201954,0.120833443375714,NA,NA
"ORBIT 4","Secondary endpoint (log rate ratio)",-0.72979457777474,-0.462035459596559,-0.194276341418378,0.000359744362543238,NA,NA
"Two-trials rule","Secondary endpoint (log rate ratio)",-0.473301806510375,-0.238161844759404,-0.0234014932711011,0.0146007210380318,0.747449947965539,0.252550052034461
"Meta-analysis","Secondary endpoint (log rate ratio)",-0.505496318015434,-0.314661059585794,-0.123825801156155,0.000615257866268545,0.492040956678279,0.507959043321721
"Tippett","Secondary endpoint (log rate ratio)",-0.598955760326984,-0.387587202162653,-0.156160896805607,0.000719359309080181,0.248561431348552,0.751438568651448
"Fisher","Secondary endpoint (log rate ratio)",-0.570417322174572,-0.349421062825629,-0.138009020352037,0.000480049779310265,0.375987250966711,0.624012749033289
"Pearson","Secondary endpoint (log rate ratio)",-0.490302096704332,-0.277063212613913,-0.0525225604330384,0.00765435685476036,0.617569410682076,0.382430589317924
"Edgington","Secondary endpoint (log rate ratio)",-0.566694793539315,-0.313469202580647,-0.0563111354123325,0.00734389437708021,0.496020226218943,0.503979773781057
